,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
980,Más de 5 años,1,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,Diseño digital ,Visitas personales,"Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,3.0,4.0,7
981,Entre 3 y 5 años,15,1 vez a la semana,"Efectivo, Tarjeta de debito",Sí,No,Diseño digital ,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,80.0,130.0,5
982,Entre 1 y 3 años,90,1 vez al mes,"Efectivo, Tarjeta de debito",Sí,No,Diseño digital ,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas",Muy satisfecho,Sí,Sí,50.0,65.0,5
983,Entre 6 meses y un año,50,1 vez al mes,"Efectivo, Tarjeta de debito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,70.0,115.0,4
984,Entre 6 meses y un año,150,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,15.0,10.0,10
985,Entre 1 y 3 años,0,No realiza pedidos,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",No,No,Muy satisfecho,No,Sí,6.0,3.0,8
986,Entre 0 y 6 meses,600,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,1.0,1.0,6
987,Entre 1 y 3 años,15,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,Sí,2.0,2.0,8
988,Entre 1 y 3 años,12,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,8.0,6.0,5
989,Entre 6 meses y un año,5,1 vez al mes,CoDi/Mercado Pago/Paypal/otras pasarelas de pago,Sí,No,No,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Correo electrónico",Muy satisfecho,No,Sí,1.0,1.0,8
990,Entre 3 y 5 años,50,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Software o plataformas compartidas,Muy satisfecho,Sí,No,30.0,70.0,6
991,Más de 5 años,2,2 veces a la semana,"Efectivo, Tranferencia",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,3.0,1.0,8
992,Entre 1 y 3 años,200,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,No,Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,30.0,35.0,6
993,Entre 1 y 3 años,80,6 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,Sí,90.0,110.0,1
994,Entre 1 y 3 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,30.0,20.0,10
995,Entre 1 y 3 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,30.0,20.0,10
996,Más de 5 años,200,2 veces a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,No,Visitas personales,Visitas personales,Muy satisfecho,No,Sí,75.0,75.0,4
997,Entre 0 y 6 meses,150,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy insatisfecho,Sí,Sí,10.0,6.0,9
998,Entre 3 y 5 años,100,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,30.0,30.0,10
999,Entre 0 y 6 meses,46,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,18.0,10.0,6
1000,Entre 3 y 5 años,25,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,3.0,2.0,6
1001,Entre 6 meses y un año,35,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,40.0,50.0,10
1002,Entre 1 y 3 años,5,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,No,Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,12.0,3.0,5
1003,Entre 6 meses y un año,50,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Redes sociales (Instagram, X, entre otras)","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,4.0,1.0,4
1004,Entre 1 y 3 años,23,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas",Muy satisfecho,Sí,No,36.0,50.0,10
1005,Entre 1 y 3 años,23,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas",Muy satisfecho,Sí,No,36.0,50.0,10
1006,Entre 6 meses y un año,10,1 vez a la semana,"Efectivo, Tarjeta de debito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,20.0,10.0,5
1007,Entre 6 meses y un año,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,20.0,10.0,10
1008,Entre 1 y 3 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,30.0,40.0,5
1009,Más de 5 años,70,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea",Visitas personales,Visitas personales,Muy insatisfecho,No,No,150.0,39.9,7
1010,Más de 5 años,60,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Correo electrónico, Páginas web","Visitas personales, Mensajes de texto",Muy satisfecho,Sí,No,50.0,80.0,8
1011,Entre 1 y 3 años,6,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,80.0,100.0,8
1012,Más de 5 años,40,1 vez al mes,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Muy insatisfecho,No,No,25.0,40.0,8
1013,Más de 5 años,150,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Correo electrónico",Visitas personales,Muy satisfecho,Sí,Sí,30.0,50.0,9
1014,Entre 3 y 5 años,200,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,Terminal para el pago con tarjeta,"Llamadas telefónicas, Correo electrónico, Páginas web",Visitas personales,Muy satisfecho,Sí,No,20.0,30.0,7
1015,Más de 5 años,23,2 veces a la semana,Efectivo,Sí,No,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy insatisfecho,No,No,100.0,150.0,8
1016,Entre 3 y 5 años,450,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,25.0,35.0,7
1017,Entre 1 y 3 años,80,No realiza pedidos,Efectivo,No,No,Terminal para el pago con tarjeta,Ella hace las bolsas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy insatisfecho,No,No,30.0,70.0,10
1018,Entre 3 y 5 años,30,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas",Muy satisfecho,Sí,Sí,15.0,40.0,7
1019,Entre 0 y 6 meses,10,1 vez al mes,Efectivo,No,No,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Algo insatisfecho,Sí,Sí,8.0,15.0,5
1020,Entre 6 meses y un año,50,1 vez a la semana,Efectivo,No,No,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,No,No,10.0,4.0,3
1021,Entre 1 y 3 años,300,1 vez al día,"Efectivo, Transferencia ",Sí,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo insatisfecho,Sí,Sí,60.0,30.0,5
1022,Entre 1 y 3 años,40,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,Plataformas de pedidos en línea,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,20.0,40.0,10
1023,Entre 1 y 3 años,30,2 veces al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,12.0,5.0,6
1024,Más de 5 años,300,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Muy satisfecho,Sí,No,250.0,250.0,7
1025,Entre 3 y 5 años,25,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto",Visitas personales,Muy satisfecho,Sí,Sí,10.0,30.0,5
1026,Entre 3 y 5 años,48,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Software o plataformas compartidas",Muy satisfecho,No,No,75.0,125.0,5
1027,Más de 5 años,40,1 vez a la semana,"Efectivo, Transferencia ",No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,33.6,100.0,3
